MATERIAL ID,DESCRIPTION,MONTH/YEAR,FORECASTING FOR NEXT MONTH
20015674,STRUCTURE SADDLE,Feb-25,1
20015679,STRUCTURE SADDLE,Feb-25,0
20015699,STRUCTURE SADDLE,Feb-25,0
20020652,SHEET GUARD 24TOOL ATC TOP,Feb-25,66
20023878,SHEET GUARD-24T ATC GRD TOP,Feb-25,100
20049060,SHEET POLYCARBONATE 24TOOL ATC,Feb-25,63
20050803,SPACER CYLINDRICAL-INNER,Feb-25,90
20050808,SPACER CYLINDRICAL-INNER,Feb-25,50
20050885,SPACER CYLINDRICAL-OUTER,Feb-25,87
20050890,SPACER CYLINDRICAL-OUTER,Feb-25,50
20052650,SPINDLE D70 BBT40,Feb-25,37
20052710,SPINDLE D70 HSK A63,Feb-25,10
20053217,STRUCTURE COLUMN,Feb-25,45
20053242,STRUCTURE COLUMN,Feb-25,0
20053267,STRUCTURE COLUMN,Feb-25,30
20053323,STRUCTURE GEN LOADING STATION BOTTOM,Feb-25,1
20053324,STRUCTURE GEN LOADING STATION-TOP,Feb-25,1
20053593,STRUCTURE BASE [MCH-630],Feb-25,0
20053632,STRUCTURE BASE,Feb-25,0
20053658,STRUCTURE BASE,Feb-25,42
20053715,STRUCTURE BASE (MCH-500L WEDGE TYPE),Feb-25,2
20053726,STRUCTURE BASE,Feb-25,5
20053733,STRUCTURE BASE,Feb-25,2
20053737,STRUCTURE BASE-LAPC,Feb-25,0
20053739,STRUCTURE BASE-LAPC,Feb-25,6
20053763,STRUCTURE BASE-LAPC,Feb-25,0
20053770,STRUCTURE BASE,Feb-25,18
20053786,STRUCTURE BASE-R.APC INTEGRAL BASE,Feb-25,0
20053787,STRUCTURE BASE-L.APC,Feb-25,0
20053789,STRUCTURE_BASE_M540V CFR,Feb-25,5
20053795,STRUCTURE BASE,Feb-25,0
20053797,STRUCTURE BASE,Feb-25,0
20053798,STRUCTURE BASE (122T ATC &M04 LOW COST ),Feb-25,1
20053799,STRUCTURE BASE,Feb-25,0
20053808,STRUCTURE BASE,Feb-25,0
20053823,STRUCTURE BASE,Feb-25,3
20053833,STRUCTURE BASE,Feb-25,1
20053837,STRUCTURE BASE,Feb-25,15
20053843,STRUCTURE BASE (M43-033 ONWARDS) OLD TT,Feb-25,0
20053850,STRUCTURE BASE,Feb-25,1
20053855,STRUCTURE BASE- LAPC BASE,Feb-25,4
20053867,STRUCTURE BASE (M41-005 SPL),Feb-25,0
20053873,STRUCTURE BASE,Feb-25,1
20053876,STRUCTURE BASE (M49 WITH M77 COLUMN),Feb-25,0
20053936,STRUCTURE COLUMN,Feb-25,1
20053952,STRUCTURE COLUMN,Feb-25,0
20053955,STRUCTURE COLUMN,Feb-25,0
20053964,STRUCTURE COLUMN,Feb-25,0
20053965,STRUCTURE COLUMN,Feb-25,0
20053966,STRUCTURE COLUMN,Feb-25,0
20053985,STRUCTURE COLUMN,Feb-25,4
20054001,STRUCTURE COLUMN,Feb-25,19
20054002,STRUCTURE COLUMN,Feb-25,1
20054006,STRUCTURE COLUMN (1690V),Feb-25,0
20054026,STRUCTURE COLUMN-LM GW LINEAR SCALE,Feb-25,0
20054028,STRUCTURE COLUMN(FOR M49)WCB,Feb-25,0
20054043,STRUCTURE SADDLE,Feb-25,57
20054045,STRUCTURE SADDLE,Feb-25,10
20054074,STRUCTURE SADDLE,Feb-25,4
20054090,STRUCTURE SADDLE,Feb-25,0
20054299,TABLE,Feb-25,0
20054335,TABLE,Feb-25,4
20054404,TABLE,Feb-25,59
20054409,TABLE,Feb-25,3
20054422,TABLE (1800X800),Feb-25,1
20058134,TUBE COOLANT-FLOOD COOLANT,Feb-25,46
20058589,PIPE COOLANT-CROWN,Feb-25,84
20059733,STURCTURE BASE,Feb-25,0
20060716,ELEC. CABINET (STD),Feb-25,16
20060720,ELEC. CABINET (MCV-500),Feb-25,2
20060729,ELE. CABINET (VMC 1060),Feb-25,11
20063596,ELE. CABINET DOOR( LHS )STD,Feb-25,14
20063599,ELE. CABINET DOOR( RHS)STD,Feb-25,14
20064033,SHEET PLATE-PANEL MAIN STD,Feb-25,17
20066736,TELESCOPIC COVER (Z-AXIS),Feb-25,79
20066757,TELESCOPIC COVER (Z-AXIS),Feb-25,59
20066940,TELESCOPIC COVER (Y-AXIS REAR),Feb-25,49
20067001,TELESCOPIC COVER (Z-AXIS),Feb-25,29
20067043,TELESCOPIC COVER,Feb-25,15
20067117,TELESCOPIC COVER,Feb-25,3
20067143,TELESCOPIC COVER (Y-AXIS FRONT THK ROLR),Feb-25,48
20067163,TELESCOPIC COVER-X AXIS-LH AND R.H,Feb-25,107
20067195,TELESCOPIC COVER X AXIS RH,Feb-25,5
20067310,TELESCOPIC COVER-Y AXIS FRONT,Feb-25,4
20067311,TELESCOPIC COVER-Y AXIS REAR,Feb-25,4
20067312,TELESCOPIC COVER-X AXIS,Feb-25,9
20067420,TELESCOPIC COVER-X-M30-CENT.H.S,Feb-25,85
20079853,FABRICATION STAND (FOR 40 LTR TANK-HPP),Feb-25,70
20098191,ISOLATION ALUMINIUM TRANSFORMER-22.5KVA,Feb-25,50
20098263,ISOLATION TRANSFORMER-17.5KVA,Feb-25,21
20098306,ISOLATION TRANSFORMER-14.5KVA(E-POWER),Feb-25,27
20098404,NEW SEALED KEYBOARD WITH TOSOKU SWITCHS,Feb-25,58
20098410,SOLID STATE RELAY BOARD (8 RELAY) TB TYP,Feb-25,83
20098424,"NEW SEALED KEYBOARD WITH TOSOKU SWITCHS,",Feb-25,53
20098461,NEW SEALED KEYBOARD WITH TOOL STN DISPLY,Feb-25,11
30000156,ROTARY COOLANT UNION 1109-020-188,Feb-25,2
30000211,"ROTARY COOLANT UNION,903-120-188,DEUBLIN",Feb-25,24
30000300,BAG FILTER-CF-51125A-50B-250LPM-25M,Feb-25,24
30000352,CHIP TROLLEY-COMP,Feb-25,15
30000505,ATC-4024V-058 - 24T-BT40-MAS-225-70-TM,Feb-25,145
30000865,ROTARY TABLE-NIKKEN-CNC-321BFA,Feb-25,0
30000867,SUPPORT TABLE TAT 321 WITH 8 NOS. OF T,Feb-25,0
30001639,ACBB 7014CTYNSULP4Y-NSK,Feb-25,181
30001640,ACBB 7014A5TYNSULP4Y-NSK,Feb-25,382
30001644,ACBB 7010CTYNDULP4-NSK,Feb-25,54
30001655,ACBB 60BNR10ETYNDUELP4-NSK,Feb-25,5
30001885,LM GUIDEWAY SRG35LC2SSHCOE+1480 LPII,Feb-25,153
30002005,LMG-SRG45LR2SSHCOE+1310LP-II,Feb-25,22
30002013,LMG-SRG 35LC 2SS HCOE/1SSCOE+1920LP-II,Feb-25,20
30002033,LMG SRG35LC2SSHCOE+1038LP-II,Feb-25,121
30002034,LMG SRG35C2SSHCOE+1184LP-II,Feb-25,25
30002037,LMG SRG30C2SSHC0E+1040LP-II,Feb-25,0
30002038,LMG SRG30C2SSHC0E+840LP-II,Feb-25,3
30002039,L.M.GUIDEWAY-SRG35LR2SSC0E+1140LP-II,Feb-25,121
30002047,LMG SRG35LC2SSHC0E+1038LP-II(B),Feb-25,120
30002091,LMG-SRG35LC2SSHCOE+1078LP-II,Feb-25,59
30002092,LMG-SRG45LC2SSHCOE+1100LP-II,Feb-25,58
30002111,1MRS55-N-G1-KC-R1-1737/-28.5-28.5 CN,Feb-25,1
30002136,1MRS45-N-G1-KC-R1-1572.5-25-25-CN,Feb-25,3
30002141,1MRS55-N-G1-KC-R1-1617-28.5-28.5-CN,Feb-25,1
30002148,1MRS35-N-G1-KC-R1-1477-18.5-18.5-S70,Feb-25,2
30002185,LM GW-SHS65LV-2SSHC0E-1873LP-II,Feb-25,1
30002250,L.M.G MSA30LE2SSF1A+R1420-30/30PII,Feb-25,7
30002253,L.M.G MSA35LE2SSF1A+R1040-40/40PII,Feb-25,7
30002412,LNR BALL BRNG ASSLY((INS: CE-20-2-570L),Feb-25,15
30002495,PUMP RKM206/270-9C-1.5KW-380-415V-50HZ,Feb-25,47
30002496,COOLANT PUMP_RV160/270_9C_.3Kw_380-415V,Feb-25,44
30002610,WATER PISTOL [MODEL NO - 229912-01],Feb-25,193
30002615,LUB ALU05-5L-PS-FS-.12Kw-380-415V-50Hz3P,Feb-25,28
30002627,LUB ALU03-3L-PS-FS-.12Kw-380-415V-50Hz3P,Feb-25,188
30002795,OIL CHLR- CO6PTS-3387D 1500KCAL-380V50HZ,Feb-25,1
30003169,ACCUMULATOR 10 LTR.,Feb-25,2
30003389,D.C VLV-S-DSG-01-3C2-D24-N1-50,Feb-25,30
30003594,"DBL ACTING HYD CYL,D40xD32x152 STROKE",Feb-25,21
30004303,HYDPNE TDL CYL-PCS3-8045-AM12-CV-13MM ST,Feb-25,134
30004304,HYDPNE INTFR-8025-V090-MP-CV,Feb-25,57
30004484,MANIFOLD BLOCK ASSEMBLY,Feb-25,11
30004650,BRAKE MODULE VLV 1/8 MBR-01-C-30,Feb-25,32
30005200,SENSOR+PR.SWITCH-ISE20-ISA3-X1Z20135B,Feb-25,7
30005501,CYLINDER PNEUMATIC_DSBC-32-400-PPVA-N3,Feb-25,19
30005697,FILTER REGULATOR (AC20-X351022) 0-2 BAR,Feb-25,36
30005746,AC40-X1B20016A-FRL-SMC,Feb-25,182
30005754,D.C VLV-JMFH-5 1/8,Feb-25,242
30005901,AIR DRIER-VXD-2-TRIDENT,Feb-25,9
30006433,"HYD POWER PACK-40L,70BAR, 4STN-FL",Feb-25,20
30009274,OMP40-2 PROBE KIT BT50 CONSIST OF HK-020,Feb-25,0
30009753,CABLE DRAG CHAIN-3550.115.150.0-14 LNK,Feb-25,91
30011639,HIRTH COUPLING DIA-360X360 TEETH,Feb-25,1
30011641,HIRTH COUPLING DIA 450 X 360 TEETH,Feb-25,3
30011663,CPG SFC-090DA2-30B-35B MIKY PULLEY,Feb-25,15
30011685,CPG SFC-060DA2-20B-24B MIKY PULLEY,Feb-25,299
30011686,CPG SFC-060DA2-20B-35B MIKY PULLEY,Feb-25,168
30011713,CPG SFC-060DA2-28B-35B MIKY PULLEY,Feb-25,34
30011714,CPG SFC-090DA2-28B-35B MIKY PULLEY,Feb-25,37
30011746,CPG ROBA ES 48/940.011.AS-D60H7-D38F7,Feb-25,11
30011753,CPG ALS-065G-20B-24B MIKY PULLEY,Feb-25,45
30012070,BS & N 1R36-20C1-FDW-1012-1265-0.008,Feb-25,17
30012097,BS&NUT-BIF4012VE-7RRG0+1110LC3(THK MAKE),Feb-25,5
30012103,BS&N 1R40-16T4-1FDDC-1325-1597-0.008,Feb-25,5
30012130,"BS & N, R40-20C1-FDT-851-1167-0.008(HIWI",Feb-25,2
30012201,BS&N 1R32-12T5-1FDDC-751.5-1021-0.008,Feb-25,4
30012203,BS&N 1R32-10T5-1FDDC-648.5-918-0.008,Feb-25,4
30012204,BS&N 1R32-10T5-1FDDC-995.5-1265-0.008,Feb-25,4
30012205,BS &NUT -SDAN3216VAXS-5TTGO-895LC3(THK,Feb-25,11
30012206,BS &NUT -SDAN3216VAXS-5TTGO-771LC3,Feb-25,11
30012212,BS&N BIF4020VS-10RRG0+1167LC3 THK,Feb-25,1
30012220,BS&N SDAN4016VAXS-5TTG0-1050LC3 (THK),Feb-25,1
30012250,BS &NUT -SDAN3216VAXS-5TTGO-895LC3(THK,Feb-25,3
30016385,HAND HELD MPG SET PART NO.HDW-BACS-IM(G),Feb-25,117
30016403,FUJI MAKE 0.75KW VFD I/P:380-480V 3PHASE,Feb-25,33
30016404,FUJI MAKE 1.5KW VFD I/P:380-480V 3PHASE,Feb-25,6
30016934,CONTACTOR 230VAC(LC1D95 M7)-SCHNEIDER,Feb-25,13
30016945,CONTACTOR 24VDC(LP2K0901BD)-SCHNEIDER,Feb-25,26
30016988,40A-CONTACTOR 230VAC(3RT2035-1AP00)-SIE,Feb-25,32
30017001,CONTACTOR 230VAC(LC1E65 M7)-SCHNEIDER,Feb-25,50
30017005,CONTACTOR 230VAC(MC-65A)-LS ELECTRIC,Feb-25,43
30018257,AIR COOLER-TURBO-TU-1000-M23-ADVANCE,Feb-25,34
30018259,AIR COOLER TURBO TU-700-A56 ADVANCE MAKE,Feb-25,57
30018469,"MACHINE LAMP LED,24VDC,36W",Feb-25,54
30018480,MACHINE LAMP(7M)36W-MARUTI INTERNATIONAL,Feb-25,130
38000003,"CNC PKG (F16F+B4IS+AISV20 PLUS TYP3,24K,",Feb-25,17
38000010,CNC PKG(F11F+A22/8K PLUS TYPE3+PROFINET,Feb-25,0
38000026,CNC PKG (F17FNEW PLUS TYP5 SPIB6 VERTICA,Feb-25,8
38000027,"CNC PKG (M5SPL AVU 7.5/5.5KW,12KRPM,10.4",Feb-25,0
38000028,"CNC PKG (M5SPL AVU 5.5/3.57KW,20KRPM,10.",Feb-25,0
38000097,CNC PKG_1690V-M80A 37.2/37.2/49NM-D15,Feb-25,0
38000113,"CNC PKG (S1NEW HS PPU241.3(SW),BUFFER MO",Feb-25,0
38000114,"CNC PKG (S4NEW HS PPU241.3(SW),BUFFER MO",Feb-25,0
38000116,CNC PKG F14F+A2/20K PLUS TYPE3 VERTICAL,Feb-25,2
38000122,CNC PKG (F11F SPL 0I-MF PLUS TYPE3 A50B/,Feb-25,1
38000125,"CNC PKG (S1NEW PPU261.3(SW),BUF,W/O MPG)",Feb-25,0
38000129,CNC PKG F14F+AT2/20K PLUS TYPE3 VERTICA,Feb-25,0
38000132,CNC PKG_1690V-M80A 37.2/37.2/49NM-DN18.5,Feb-25,0
38000137,PART SHIPMENT OF F11F+A22 PKG W/O B40B R,Feb-25,0
38000200,CNC PKG (G1F+B12 ALPHA 0I-MF PLUS TYPE1),Feb-25,0
38000246,CNC PKG (F7FSPL SPI B6/12K OI-MF PLUS TY,Feb-25,0
38000301,"CNC PKG (S5NEW PPU261.3(SW) , BUFFER MOD",Feb-25,0
38000304,"CNC PKG (F14F PLUS TYP3 18I,24K,FP W/O A",Feb-25,0
38000307,CNC PKG (S1 SPL 11/16.5 PPU241.3(SW) W/O,Feb-25,0
38000314,"CNC PKG (F10F PLUS TYPE1,24K,FP,MACRO,FM",Feb-25,1
38000318,CNC PKG (F10F+A12 OIMF PLUS TYPE3),Feb-25,0
38000326,"CNC PKG MCH-630 NEW SPIA22/8K,PFBM,BZI",Feb-25,1
38000332,"CNC PKG (M7B 15/11/7.5 12K 10.4""W/O MPG,",Feb-25,0
38000410,"CNC PKG (F16F PLUS TYP3,24K,FP,MACRO,FM)",Feb-25,30
38000411,"CNC PKG (F14F PLUS TYPE3 W/O MPG,24K,FP)",Feb-25,0
38000412,CNC PKG (F4F TYPE1 PLUS +FP+MACRO+FM),Feb-25,1
38000421,"CNC PKG (M8A 11/7.5,10.4"" TS,W/O MPG,I/O",Feb-25,0
38000431,FANUC CNC PKG(F7F+AT8 PLUS TYPE1+FP+MAC),Feb-25,0
38000444,CNC PKG (S0 PPU241.3 W/O MPG/1N. I/O CAR,Feb-25,0
38000446,CNC PKG (S2 PPU261.3 W/O MPG/1N. I/O CAR,Feb-25,0
38000453,"CNC PKG (M7A 11/7.5 12K 10.4""W/O MPG,I/O",Feb-25,2
38000460,"CNC PKG (M8A 11/15 8K 10.4"" W/O MPG I/O",Feb-25,2
38000462,"CNC PKG (M7A 11/15,10.4""TS W/O MPG I/O)",Feb-25,2
38000484,"CNC PKG (M8B 11/7.5,10.4"" TS,W/O MPG,I/O",Feb-25,1
38000492,FANUC PKG (G1F+AT8 PLUS TYPE1 SPM22+FP),Feb-25,1
38000493,FANUC PKG (F24F PLUS TYPE1+FP),Feb-25,0
38000501,FANUC CNC PKG(F11F+A22/8K PLUS TYPE3+FP),Feb-25,0
38000673,CNC PKG (F8FNEW 0I-MF PLUS TYPE3 RBB),Feb-25,0
38000712,FANUC CNC PKG (F17FNEW PLUS TYPE3 SPI B3,Feb-25,0
38000872,MACHINE OPERATOR'S PANEL (FANUC),Feb-25,4
38000939,"CNC PKG 828D (S4NEW PPU241.3(SW),10KRPM",Feb-25,0
38000950,"828D CNC PKG S6 PPU241.3 (SW), BUFFER MO",Feb-25,0
38001141,BETA-22/2KIS MOTOR & BSVM1-40I DRIVE FO,Feb-25,0
38001150,BETA-8/3KIS SERVO MOTOR & -BETA-SVM1-20I,Feb-25,56
38001168,"CHOKE FOR 2HP VFD, 400V 3 PHASE",Feb-25,27
38001730,CNC PKG (F10F+AT8 PLUS VERTICAL TYPE3+FP,Feb-25,0
